IT TERM;TARGET HYPOTHESIS (DE SOUTH TYROL);IT EXAMPLE;Context DE
terzo debitore;Drittschuldner;Le parti ed il terzo debitore possono sempre chiedere, con le forme del processo ordinario, la modificazione e la revoca del provvedimento.;Geschäfte, die auf Grund eines schon vor der Pfändung bestehenden Rechtes oder einer schon vor diesem Zeitpunkte bestehenden Verpflichtung des Drittschuldners vorgenommen werden, gelten nicht als neue Geschäfte im Sinne dieser Vorschrift.
pericolo concreto;effektiv Gefahr;Le misure cautelari sono disposte [...] quando l'imputato si è dato alla fuga o sussiste concreto pericolo che egli si dia alla fuga [...].;Es genügt,daß der Täter es unternimmt, dadurch Leib oder Leben eines beliebigen anderen (also nicht eines Tatbeteiligten) oder fremde Sachen von bedeutendem Wert in konkrete Gefahr zu bringen [...].
ufficiale giudiziario;Gerichtsvollzieher;L'ufficiale giudiziario esegue la notificazione mediante consegna al destinatario di copia conforme all'originale dell'atto da notificarsi.;Die von den Parteien zu betreibenden Zustellungen erfolgen durch den Gerichtsvollzieher nach Maßgabe der §§ 193 und 194 [ZPO].
dote;Mitgift;Se la separazione è pronunziata per colpa di entrambi i coniugi l'autorità giudiziaria ha la facoltà di ordinare la separazione della dote.;Während der Tochter nach früherem Recht gegen ihren Vater, subsidiär gegen die Mutter ein Anspruch auf Gewährung einer Mitgift zustand (sogenannte Aussteuer [...]), können nach geltendem Recht Kinder keine Mitgift verlangen, es sei denn, es liegt ein Ausstattungsversprechen vor. | Während der Tochter nach früherem Recht gegen ihren Vater, subsidiär gegen die Mutter ein Anspruch auf Gewährung einer Mitgift zustand [...], können nach geltendem Recht Kinder keine Mitgift verlangen, es sei denn, es liegt ein Ausstattungsversprechen vor.
azione di risparmio;Vorzugsaktie ohne Stimmrecht;Un'altra categoria [...] è quella delle azioni di risparmio, privilegiate nella ripartizione degli utili e nel rimborso del capitale [...].;
creditore in solido;Gesamtgläubiger;Se nella medesima persona si riuniscono le qualità di debitore e di creditore in solido, l'obbligazione si estingue per la parte di questo.;Vereinigen sich Forderung und Schuld in der Person eines Gesamtgläubigers, so erlöschen die Rechte der übrigen Gläubiger gegen den Schuldner.
giudice per le indagini preliminari;Untersuchungsrichter;Se l'intervento è avvenuto prima dell'esercizio dell'azione penale, sull'opposizione provvede il giudice per le indagini preliminari [...].;In Sachen, die [...] zur Zuständigkeit des Oberlandesgerichts im ersten Rechtszug gehören, können die im vorbereitenden Verfahren dem Richter beim Amtsgericht obliegenden Geschäfte auch durch Ermittlungsrichter dieses Oberlandesgerichts wahrgenommen werden [...].
interpretazione;Interpretation;Nell'interpretazione di tali convenzioni si terrà conto del loro carattere internazionale e dell'esigenza della loro applicazione uniforme.;"Bei der Auslegung fremden Rechts sind die Worte und Begriffe des fremden Rechts (sei es Gesetz, Gewohnheitsrecht) in dem Sinn und der Tragweite anzuwenden, wie sie in dem fremden Rechtskreis aufgefaßt werden. [Der Richter] hat ""nach pflichtmäßigem Ermessen unter Gebrauch der ihm zugänglichen Erkenntnismöglichkeiten den Inhalt ausländischen Rechts zu ermitteln"", wobei in der Ausübung dieses Ermessens ein gewisser Spielraum besteht. | Beide Parteien hätten angenommen, der von der Klägerin produzierte Strom unterfalle dem Stromeinspeisungsgesetz beziehungsweise dem Erneuerbare-Energien-Gesetz. Grund dafür sei die unrichtige Interpretation des Gesetzes gewesen, wonach in § 1 Nr. 2 StrEG nur Wasserkraftwerke des Bundes und der Länder gemeint seien."
azione di nuova emissione;neu Aktie;[L] le azioni di nuova emissione [...] devono essere assegnate gratuitamente agli azionisti in proporzione di quelle da essi già possedute.;
acque piovane;Niederschlagswasser;Il proprietario deve costruire i tetti in maniera che le acque piovane scolino nel suo terreno e non può farle cadere nel fondo del vicino.;Der Eigentümer eines Gebäudes hat das von seinem Gebäude abfließende Niederschlagswasser sowie Abwasser und andere Flüssigkeiten aus seinem Gebäude auf das eigene Grundstück so abzuleiten, daß der Nachbar nicht belästigt wird.
adottato;angenommen Kind;L'adozione non induce alcun rapporto civile tra l'adottante e la famiglia dell'adottato né tra l'adottato e i parenti dell'adottante [...].;Schließt ein Annehmender mit dem Angenommenen [...] den eherechtlichen Vorschiriften zuwider die Ehe, so wird mit der Eehschließung das durch die Annahme zwischen ihnen begründete Rechtsverhältnis aufgehoben. | Ein angenommenes Kind kann, solange das Annahmeverhältnis besteht, bei Lebzeiten eines Annehmenden nur von dessen Ehegatten angenommen werden.
adottante;Annehmender;L'adozione non induce alcun rapporto civile tra l'adottante e la famiglia dell'adottato né tra l'adottato e i parenti dell'adottante [...].;Schließt ein Annehmender mit dem Angenommenen oder einem seiner Abkömmlinge den eherechtlichen Vorschriften zuwider die Ehe, so wird mit der Eheschließung das durch die Annahme zwischen ihnen begründete Rechtsverhältnis aufgehoben [...].
danneggiamento;Beschädigung;Sono [...] a carico delle parti conduttrici eventuali danneggiamenti a parti comuni, di cui non si riesca a individuare l'autore/l'autrice.;Wegen Hausfriedensbruchs, Beleidigung, Verletzung des Briefgeheimnisses, Körperverletzung [...], Bedrohung und Sachbeschädigung ist die Erhebung der Klage erst zulässig, nachdem von einer durch die Landesjustizverwaltung zu bezeichnenden Vergleichsbehörde die Sühne erfolglos versucht worden ist.
denominazione sociale;Firma;Le denominazione sociale è il nome della società di capitali, in contrapposto alla ragione sociale, che è il nome della società di persone.;Ein Kaufmann, der sein Geschäft ohne Gesellschafter oder nur mit einem stillen Gesellschafter betreibt, hat seinen Familiennamen mit mindestens einem ausgeschriebenen Vornamen als Firma zu führen.
atto di impugnazione;Rechtsmittelschrift;Al giudice della impugnazione sono trasmessi senza ritardo il provvedimento impugnato, l' atto di impugnazione e gli atti del procedimento.;Allerdings hat die höchstrichterliche Rechtsprechung im Hinblick auf den technischen Fortschritt in einem erheblichen Umfang Ausnah-men von dem Unterschriftserfordernis zugelassen. So hat die Rechtspre-chung bereits früh die Übermittlung einer Rechtsmittelschrift und anderer bestimmender Schriftsätze durch ein Telegramm oder mittels Fern-schreiben für zulässig erachtet (vgl. die Nachw. bei BGHZ 144, 160, 162 ff.). [...]
rapporto di servizio;Dienstverhältnis;Il rapporto di servizio sorge con un atto amministrativo di assunzione del soggetto. In casi eccezionali, il rapporto può sorgere di fatto.;Der Richter ist entlassen [...] wenn er in ein öffentlich-rechtliches Dienst- oder Amtsverhältnis zu einem anderen Dienstherrn tritt, [...] wenn er die Altersgrenze erreicht oder dienstunfähig ist und das Dienstverhältnis nicht durch Eintritt in den Ruhestand endet [...].
costo di distribuzione;Vertriebskosten;Nelle valutazioni devono essere osservati i seguenti criteri: i costi di distribuzione non possono essere computati nel costo di produzione.;
testatore;Erblasser;[I]l testatore, in presenza dei testimoni, dichiara al notaio la sua volontà, la quale è ridotta in iscritto a cura del notaio stesso [...].;
conservazione ex situ;Ex-situ-Erhaltung;Sono beneficiari degli aiuti [...] gli agricoltori, singoli o associati, e altri soggetti pubblici individuati per la conservazione ex situ.;
manifestazione di volontà espressa;unmittelbar Willenserklärung;A seconda dei modi con cui la manifestazione avviene, essa si distingue [...] in dichiarazione espressa [...] e manifestazione tacita [...].;Bei einer ausdrücklichen (direkten, unmittelbaren) Willenserklärung kommt der Geschäftswille des Erklärenden unmittelbar zum Ausdruck.
bracciale;Armbinde;Il segnalatore deve indossare o impugnare uno o più elementi di riconoscimento adatti, come giubbotto, casco, manicotti, bracciali, palette.;Auch bei Übungen gelten die Verhaltensmaßnahmen wie im Ernstfall in Bezug auf sofortige Handlung und das sofortige Aufsuchen der Sammelstelle. Es kann auch z. B. Laborbereiche geben, welche während der Evakuierungsübung besetzt bleiben müssen. Für diese Fälle werden kurzfristig vor der Übung Mitarbeiterinnen oder Mitarbeiter benannt. Es empfiehlt sich, diese z. B. mit der Armbinde entsprechend zu kennzeichnen.
presunzione;Vermutung;La mancata comunicazione comporta in ogni caso la presunzione di cessazione delle esigenze di pubblico interesse all'utilizzazione del bene.;
induzione magnetica;B;L'induzione magnetica (B) è una grandezza vettoriale che determina una forza che agisce sulle cariche in movimento. È espressa in tesla (T).;"Die magnetische Flussdichte B ist eine Vektorgröße, aus der sich eine Kraft auf bewegte Ladungen ergibt; sie wird in Tesla (T) ausgedrückt."
ragione sociale;Firma;La società in nome collettivo agisce sotto una ragione sociale costituita dal nome di uno o più soci con l'indicazione del rapporto sociale.;
replica;Replik;La replica è ammessa una sola volta e deve essere contenuta nei limiti strettamente necessari per la confutazione degli argomenti avversari.;"Nach dem Schluß der Beweisaufnahme erhalten der Staatsanwalt und sodann der Angeklagte zu ihren Ausführungen und Anträgen das Wort. Dem Staatsanwalt steht das Recht der Erwiderung zu; dem Angeklagten gebührt das letzte Wort."
denuncia di sinistro;Schadensmeldung;[I]n caso di mancata presentazione della denuncia di sinistro si applica l'articolo 1915 del codice civile per l' omesso avviso di sinistro.;"Eine Schadensanzeige nach Ablieferung ist schriftlich zu erstatten; die Übermittlung der Schadensanzeige kann mit Hilfe einer telekommunikativen Einrichtung erfolgen. | Auf eine Vereinbarung, nach welcher der Versicherer von der Verpflichtung zur Leistung frei sein soll, wenn der Pflicht zur Anzeige des Versicherungsfalls nicht genügt wird, kann sich der Versicherer nicht berufen, sofern er in anderer Weise von dem Eintritt des Versicherungsfalls rechtzeitig Kenntnis erlangt hat."
madre;Mutter;L'azione di disconoscimento di paternità del figlio nato nel matrimonio può essere esercitata dal marito, dalla madre e dal figlio medesimo.;Mutter eines Kindes ist die Frau, die es geboren hat.
profitto non patrimoniale;immateriell Vorteil;Quanto al profitto non patrimoniale [...], esso dovrà considerarsi ingiusto tutte le volte che sia in contrasto con l'ordinamento giuridico.;"[Bei der Vorteilsannahme gemäß § 331 StGB gilt] ein (sehr) weiter Vorteilsbegriff, da weder eine Bereicherung des Amtsträgers noch eine Entreicherung des Gebers verlangt wird und die vorausgesetzte ""objektive"" Besserstellung durch die (damit erfolgte) Einbeziehung ""immaterieller Vorteile"" eine subjektive Komponente erhält."
falso;Fälschung;La transazione nei giudizi civili di falso non produce alcun effetto, se non è stata omologata dal tribunale, sentito il pubblico ministero.;Die Beobachtung der für die Hauptverhandlung vorgeschriebenen Förmlichkeiten kann nur durch das Protokoll bewiesen werden. Gegen den diese Förmlichkeiten betreffenden Inhalt des Protokolls ist nur der Nachweis der Fälschung zulässig.
padre adottivo;Wahlvater;L'addottato assume solo il cognome del padre adottivo. L'adottato maggiorenne invece aggiuge il cognome dell'adottante premettendolo al suo.;"Heiratet [...] der Adoptivvater seine Tochter, so wird die Eltern-Kind-Beziehung auflgelöst; die Tochter bleibt aber Enkelin der Eltern ihres Mannes und Tochter im Verhältnis zu ihrer geschiedenen Adoptivmutter."
eguaglianza giuridica dei coniugi;rechtlich Gleichstellung der Ehegatt;Il matrimonio è ordinato sull'eguaglianza morale e giuridica dei coniugi, con i limiti stabiliti dalla legge a garanzia dell'unità familiare.;Die rechtliche Gleichstellung der Ehegatten in der Eheführung bildet dann die Grundlage dafür, daß sie im Ehevermögensrecht gleich behandelt werden.
forma vincolata;gesetzlich vorgeschrieben Form;La elezione di domicilio è un atto personale a forma vincolata, da compiersi esclusivamente secondo le modalità indicate nell'art. 162 c.p.p.;Es kommt vielmehr darauf an, ob das Gesetz die Gültigkeit des in Rede stehenden Rechtsgeschäfts nur für den Fall anerkennen will, daß dieses die gesetzlich vorgeschriebene Form einhält [...].
attenzione;Achtung;"Per i pericoli più gravi deve figurare l’avvertenza ""pericolo"", mentre per quelli meno gravi deve essere riportata l’avvertenza ""attenzione"".";Das Signalwort „Achtung“ wird bei Kategorien mit geringeren Gefährdungen verwendet.
reato complesso;mehraktig Delikt;La causa estintiva di un reato, che è elemento costitutivo o circostanza aggravante di un reato complesso, non si estende al reato complesso.;"[Tatbestandliche Handlungseinheit] gilt einmal bei mehraktigen oder zusammengesetzten Delikten, die auf mehreren Einzelhandlungen im natürlichen Sinn aufbauen (zB Raub: Nötigung und Wegnahme) [...]. Hierzu gehören auch die Fälle, in denen bestimmte Vorbereitungstätigkeiten der rechtsgutbeeinträchtigenden Tathandlung gleichgestellt sind, wie das Nachmachen von Geld zewcks Inverkehrbringens (§ 146 StGB); vorbereitende Tätigkeit und eigentliche Tathandlung beilden eine deliktische Einheit [...]."
assunzione dei mezzi di prova;Beweiserhebung;Il giudice istruttore provvede all'assunzione dei mezzi di prova e, esaurita l'istruzione, rimette le parti al collegio per la decisione […].;Im Anschluss an die Beweisaufnahme hat das Gericht erneut den Sach- und Streitstand und, soweit bereits möglich, das Ergebnis der Beweisaufnahme mit den Parteien zu erörtern. | Eine Beweiserhebung darf nicht [...] abgelehnt werden, weil das Beweismittel oder die zu beweisende Tatsache zu spät vorgebracht worden sei.
pericolo;Gefahr;"Per i pericoli più gravi deve figurare l’avvertenza ""pericolo"", mentre per quelli meno gravi deve essere riportata l’avvertenza ""attenzione"".";Das Signalwort „Gefahr“ kennzeichnet schwerwiegende Gefährdungen.
assorbimento;Konsumtion;[L]a consunzione e cioè l'assorbimento di una disposizione in un'altra, è un carattere comune a tutti i casi di conflitto apparente di norme.;"Bei der Konsumtion trifft ein Delikt typischerweise mit bestimmten anderen Delikten zusammen; so ist Hausfriedensbruch [...] typische Begleittat eines Einbruchdiebstahls [...]. Hier wird angenommen, daß das schwerere Delikt (der Einbruchdiebstahl) den Unrechts- und Schuldgehalt des leichteren Delikts ""verzehrt""; es wird also nur wegen des schwereren Delikts bestraft."
